Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),Reported,Reported,120,120,0.7847856202335352,0.8918210232295763,2.7666666666666666,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),No reported,No reported,313029,313029,0.278577388033715,0.1537639937194384,7.041603174146804,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),< 0.50,< 0.50,252822,252822,0.1714613813913291,0.1258763325162323,7.078533513697384,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.50,>= 0.50,60327,60327,0.7284924844118748,0.7378410256857967,6.87832976942331,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.85,>= 0.85,14226,14226,0.891648526581456,0.891693970409728,6.660199634472093,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.90,>= 0.90,5619,5619,0.9163292921480696,0.9159864548810568,6.573767574301477,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,Reported,Reported,60,60,0.7825722844618238,0.8863924178818243,2.45,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,No reported,No reported,154506,154506,0.2397853088907708,0.14789671751869884,6.0524963431840835,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,< 0.50,< 0.50,134560,134560,0.1738256769861662,0.1318066590618561,6.02099435196195,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.50,>= 0.50,20006,20006,0.6850564919167564,0.6755088275553836,6.2535739278216536,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
